Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
France,112,119,120,126,124,128,132,129,125,127,131,132,134,136,137,137,136,135,137,129,136,136,135,137,138,139,131,130,135
Germany,190,169,164,153,145,145,143,145,137,138,136,135,134,135,137,137,139,136,133,126,129,123,123,121,120,120,116,115,115
United Kingdom,208,215,215,223,252,258,269,268,272,282,272,262,259,247,226,205,187,176,167,158,148,130,117,110,108,118,120,120,124
Norway,119,131,147,155,171,185,208,213,207,210,228,227,236,235,229,224,216,215,222,217,203,195,200,191,195,204,208,214,207
Russia,1296,1220,1143,1063,994,970,969,937,944,962,978,1008,1046,1119,1172,1203,1227,1239,1254,1190,1279,1299,1316,1331,1319,1334,1373,1429,1492
Canada,276,287,296,318,341,352,361,367,371,369,377,381,386,388,400,401,418,420,409,394,401,414,425,445,468,470,474,504,526
United States,1647,1637,1642,1592,1652,1655,1673,1671,1691,1665,1663,1684,1656,1635,1646,1632,1655,1670,1702,1686,1725,1787,1820,1878,2015,2028,1921,2007,2175
Brazil,104,105,105,106,111,112,119,127,134,142,148,152,168,178,183,195,207,217,229,231,247,250,251,252,266,278,284,292,292
Colombia,48,46,48,49,50,59,65,67,73,76,72,72,68,73,75,79,84,87,93,98,106,120,125,128,130,128,125,123,119
Mexico,195,204,203,206,205,204,214,226,226,225,228,234,237,251,254,259,259,248,228,224,215,217,219,217,209,190,180,165,158
Venezuela,145,160,162,171,178,192,217,229,227,206,216,212,203,179,218,223,226,199,200,200,198,199,194,192,186,183,168,149,112
China,881,887,904,933,986,1065,1091,1081,1079,1074,1124,1176,1227,1375,1534,1671,1793,1917,1967,2052,2236,2386,2402,2467,2506,2516,2364,2448,2534
India,280,290,294,298,308,323,328,338,337,344,351,358,368,381,393,401,406,425,445,484,504,521,524,522,533,538,558,567,588
Indonesia,169,183,187,194,208,215,223,228,229,238,237,242,248,255,265,280,314,318,323,351,378,421,433,453,449,426,434,438,441
Australia,157,167,171,174,173,187,190,201,217,214,234,249,254,252,253,265,270,286,287,295,323,313,321,344,366,381,391,407,426
Algeria,100,103,104,105,101,107,113,122,127,137,142,137,143,155,158,167,165,164,162,153,151,146,144,138,143,143,153,153,151
Nigeria,146,152,158,160,162,165,177,189,185,183,198,208,192,216,230,234,233,236,232,225,254,259,266,250,254,254,240,246,256
South Africa,115,117,115,123,128,135,135,143,145,145,145,144,143,152,156,156,156,157,160,158,161,160,163,162,165,162,163,164,164
Iran,188,200,215,228,231,238,235,238,241,244,254,248,254,281,293,311,323,337,338,334,342,346,297,298,316,323,391,419,418
Kuwait,50,10,60,107,114,115,115,115,117,108,114,112,101,121,131,147,151,147,153,130,135,154,173,170,166,168,175,165,168
United Arab Emirates,110,127,134,131,134,137,140,147,150,142,154,155,148,162,170,175,185,183,186,172,178,197,205,212,215,230,237,229,234
