Year,Population,Country,CO2 (MT),Country Code,Continent,Continent_Code,GDP
1/1/1960,54211,Aruba,0.61856,ABW,North America,NA,
1/1/1960,8996973,Afghanistan,0.41388,AFG,Asia,AS,537777811.111111
1/1/1960,5454933,Angola,0.54895,AGO,Africa,AF,
1/1/1960,1608800,Albania,2.0225,ALB,Europe,EU,
1/1/1960,13411,Andorra,,AND,Europe,EU,
1/1/1960,92418,United Arab Emirates,0.010992,ARE,Asia,AS,
1/1/1960,20481779,Argentina,48.7645,ARG,South America,SA,
1/1/1960,1874121,Armenia,2.4936,ARM,Asia,AS,
1/1/1960,1874121,Armenia,2.4936,ARM,Europe,EU,
1/1/1960,54131,Antigua and Barbuda,0.03664,ATG,North America,NA,
1/1/1960,10276477,Australia,88.1189,AUS,Oceania,OC,18593347519.3191
1/1/1960,7047539,Austria,30.7845,AUT,Europe,EU,6592693841.18495
1/1/1960,3895397,Azerbaijan,24.0756,AZE,Asia,AS,
1/1/1960,3895397,Azerbaijan,24.0756,AZE,Europe,EU,
1/1/1960,2797932,Burundi,0.036431,BDI,Africa,AF,195999990
1/1/1960,9153489,Belgium,90.9081,BEL,Europe,EU,11658722590.99
1/1/1960,2431622,Benin,0.16122,BEN,Africa,AF,226195579.35701
1/1/1960,4829288,Burkina Faso,0.043968,BFA,Africa,AF,330442817.168859
1/1/1960,48013504,Bangladesh,2.2119,BGD,Asia,AS,4274893913.46432
1/1/1960,7867374,Bulgaria,22.2707,BGR,Europe,EU,
1/1/1960,162427,Bahrain,0.57525,BHR,Asia,AS,
1/1/1960,109534,Bahamas,0.41037,BHS,North America,NA,169803921.568627
1/1/1960,3225668,Bosnia and Herzegovina,5.2619,BIH,Europe,EU,
1/1/1960,8198000,Belarus,37.4192,BLR,Europe,EU,
1/1/1960,92064,Belize,0.043968,BLZ,North America,NA,28071888.5622288
1/1/1960,44400,Bermuda,0.15755,BMU,North America,NA,84466654.0801544
1/1/1960,3656955,Bolivia,1.0038,BOL,South America,SA,563110051.920733
1/1/1960,72179226,Brazil,46.8518,BRA,South America,SA,15165569912.5199
1/1/1960,230980,Barbados,0.17221,BRB,North America,NA,
1/1/1960,81702,Brunei Darussalam,0.33342,BRN,Asia,AS,
1/1/1960,223288,Bhutan,,BTN,Asia,AS,
1/1/1960,502745,Botswana,,BWA,Africa,AF,30412308.9864012
1/1/1960,1501668,Central African Republic,0.087936,CAF,Africa,AF,112155598.949571
1/1/1960,17909009,Canada,192.7162,CAN,North America,NA,41093453544.9096
1/1/1960,5327827,Switzerland,19.4949,CHE,Europe,EU,9522746719.21614
1/1/1960,8132990,Chile,13.4765,CHL,South America,SA,4110000000
1/1/1960,667070000,China,778.9795,CHN,Asia,AS,59716467625.3148
1/1/1960,3503553,Cote d'Ivoire,0.46166,CIV,Africa,AF,546203561.571989
1/1/1960,5176918,Cameroon,0.27114,CMR,Africa,AF,618740988.011405
1/1/1960,15248251,Democratic Republic of Congo,2.3185,COD,Africa,AF,3359404132.31797
1/1/1960,1018253,Republic of the Congo,0.2235,COG,Africa,AF,131731862.568997
1/1/1960,16057724,Colombia,16.3905,COL,South America,SA,4040948153.73022
1/1/1960,191121,Comoros,0.010992,COM,Africa,AF,
