Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,779,551,439,436,436,475,521,432,468,576,770,874,929,966,985,1142,1191,1304,1455,1487,1459,1443,1570,1656,1802,1952,2052,2191,2348,2387,2420,2539,2657,2836,3010,3265,3408,3415,3266,3258,3349,3426,3782,4452,5126,5771,6378,6862,7375,7759,8501,9388,9634,9797,9820,9716,9704,9839
United States of America,2888,2877,2984,3116,3253,3388,3559,3693,3828,4022,4326,4351,4558,4762,4593,4401,4607,4735,4883,4894,4717,4530,4302,4336,4468,4484,4488,4681,4886,4948,5121,5071,5174,5285,5378,5439,5626,5704,5752,5832,6001,5902,5944,5991,6107,6132,6052,6131,5933,5495,5701,5571,5367,5520,5569,5421,5311,5270
India,121,130,143,154,151,166,172,172,187,190,195,205,217,224,231,251,263,278,282,295,312,337,348,377,386,424,455,486,525,576,617,657,699,723,764,811,879,915,934,995,1030,1036,1048,1092,1146,1210,1287,1390,1548,1720,1700,1817,1984,1998,2208,2276,2377,2467
Russian Federation,890,918,963,1033,1099,1166,1231,1287,1323,1378,1450,1538,1618,1687,1751,1841,1911,1976,2044,2061,2142,2101,2141,2171,2190,2362,2368,2468,2535,2482,2571,2437,1993,1891,1670,1640,1607,1502,1485,1513,1500,1538,1529,1562,1571,1589,1649,1648,1680,1572,1658,1712,1726,1666,1667,1672,1668,1693
Japan,232,283,293,325,359,386,419,489,562,653,768,797,852,914,914,869,907,933,902,953,945,927,897,881,937,912,912,903,985,1022,1155,1167,1177,1170,1225,1238,1250,1243,1204,1240,1263,1248,1277,1285,1280,1287,1263,1300,1229,1160,1212,1261,1302,1314,1264,1224,1204,1205
Germany,814,835,883,945,969,960,951,936,985,1052,1026,1037,1041,1086,1063,1002,1091,1053,1079,1118,1100,1049,1016,1012,1033,1044,1047,1032,1029,1013,1053,1015,967,957,940,940,960,932,924,897,901,917,901,902,888,867,879,852,854,790,834,811,815,833,794,797,802,799
Iran,37,37,37,41,48,54,64,68,82,83,92,102,106,129,144,139,156,164,162,164,121,113,138,149,150,160,148,159,175,190,209,226,227,236,264,271,274,267,306,380,369,395,398,414,442,464,504,513,535,547,564,579,601,609,639,630,638,672
Saudi Arabia,3,4,6,7,7,4,6,25,29,35,45,60,70,95,99,83,101,118,115,138,169,175,158,161,156,172,205,190,202,203,185,267,285,313,307,235,258,216,207,226,296,297,326,327,395,396,431,387,432,466,518,498,563,541,602,621,632,635
South Korea,13,14,17,21,22,25,30,35,37,42,54,59,60,73,76,82,93,106,113,133,135,140,142,151,164,178,183,193,222,236,247,262,282,322,344,374,402,428,364,398,445,449,464,462,479,459,466,493,506,507,566,588,584,592,587,591,595,616
Canada,193,194,207,211,238,252,259,282,303,307,341,352,381,381,390,397,399,408,416,442,443,430,414,408,425,422,405,431,456,463,464,455,469,468,483,496,511,525,534,550,573,565,571,588,586,577,570,594,575,541,555,561,564,569,568,566,558,573
Mexico,63,65,64,66,74,75,81,90,94,102,114,126,132,144,155,164,184,193,222,241,268,284,305,278,278,288,294,307,307,362,318,331,334,339,353,333,347,370,390,392,398,413,414,440,441,466,479,482,495,478,466,487,499,493,483,477,505,490
Indonesia,21,26,23,23,22,25,23,25,28,33,36,39,43,49,51,54,62,82,94,95,95,100,106,105,112,122,122,124,133,132,150,181,204,220,223,227,255,281,216,244,266,298,308,317,340,344,347,377,418,447,428,601,633,486,460,460,465,487
Brazil,47,49,54,56,57,56,64,66,77,84,94,102,114,132,143,151,154,162,176,187,186,170,171,165,168,180,197,206,208,212,207,217,218,228,239,256,281,297,308,316,324,333,327,318,334,342,342,357,380,360,411,430,460,494,520,512,474,476
South Africa,98,102,106,110,120,128,128,134,138,143,150,168,172,173,176,185,193,200,202,219,228,257,280,292,315,324,330,328,342,340,313,326,301,320,338,361,363,385,377,374,378,371,355,403,449,415,446,464,494,501,472,469,467,465,488,461,468,456
Turkey,17,17,22,23,26,27,32,33,36,39,43,48,54,59,61,65,73,81,77,75,75,79,86,90,95,106,116,128,125,138,147,154,159,167,164,178,196,208,208,204,226,210,218,233,242,261,282,313,310,317,320,345,354,347,358,381,403,448
Australia,88,91,95,101,109,121,120,129,134,142,147,153,157,171,172,176,174,188,202,205,221,230,234,225,236,241,240,256,261,277,278,280,285,289,294,305,312,321,335,344,350,358,362,370,383,387,393,400,405,409,407,404,407,398,393,403,413,413
United Kingdom,584,589,593,603,608,622,618,592,606,628,653,660,648,660,617,603,599,604,605,645,579,561,548,545,529,560,569,572,570,582,601,609,594,579,576,567,588,562,567,561,567,576,560,572,573,570,568,559,545,495,512,470,488,478,439,423,399,385
France,271,281,299,334,346,352,348,372,385,414,440,463,482,518,500,448,507,482,507,530,506,456,438,424,407,402,387,380,375,393,403,429,418,399,393,401,416,409,430,426,421,426,421,428,429,433,422,413,407,387,398,373,374,374,344,348,350,356
Italy,109,124,146,165,176,190,214,234,249,270,296,311,328,353,358,341,366,354,371,385,386,375,367,358,365,369,363,380,386,405,440,440,439,432,425,452,445,449,460,465,471,476,478,491,496,495,490,480,468,416,425,413,392,363,348,355,350,355
Thailand,4,4,5,6,7,7,9,12,17,15,15,19,22,24,24,24,29,32,35,37,40,38,38,42,46,48,49,56,66,78,89,98,108,123,137,158,177,183,163,174,179,192,206,222,240,244,249,249,250,265,279,276,294,297,313,321,325,331
Poland,200,207,217,231,243,247,252,259,276,293,304,313,330,336,346,375,398,418,431,441,463,409,421,421,432,445,452,464,444,422,376,373,364,365,360,361,375,367,337,328,317,314,306,318,323,322,335,334,327,314,332,332,324,320,308,311,322,327
Kazakhstan,112,116,121,130,138,147,155,162,167,174,183,194,204,213,221,232,241,249,258,260,270,265,270,274,276,298,298,311,319,313,267,257,233,205,171,163,149,141,135,107,134,128,147,164,171,184,203,213,213,209,237,227,234,240,257,263,278,293
Spain,49,54,60,59,64,71,78,86,97,97,117,128,145,155,173,181,198,195,200,203,214,206,209,203,198,200,189,190,197,225,232,241,250,242,254,268,255,268,277,300,312,314,334,338,354,369,360,368,336,297,284,285,279,253,255,272,261,281
