year,latitude,longitude,co2
1/1/2017,-29.5,28.5,2.82
1/1/2017,-29,24,456.33
1/1/2017,-22,17,4.07
1/1/2017,-22,24,7.88
1/1/2017,-20.2833,57.55,4.28
1/1/2017,-20,30,10.4
1/1/2017,-20,47,3.18
1/1/2017,-18.25,35,10.27
1/1/2017,-15,30,4.75
1/1/2017,-13.5,34,1.37
1/1/2017,-12.5,18.5,35.39
1/1/2017,-12.1667,44.25,0.19
1/1/2017,-6,35,14.23
1/1/2017,-4.5833,55.6667,0.61
1/1/2017,-3.5,30,0.53
1/1/2017,-2,30,1.02
1/1/2017,-1,11.75,5.53
1/1/2017,-1,15,3.41
1/1/2017,0,25,4.81
1/1/2017,1,7,0.12
1/1/2017,1,32,5.78
1/1/2017,1,38,15.82
1/1/2017,2,10,6.71
1/1/2017,6,12,7.69
1/1/2017,6.5,-9.5,1.08
1/1/2017,7,21,0.31
1/1/2017,8,-5,11.72
1/1/2017,8,-5,11.72
1/1/2017,8,-2,16.76
1/1/2017,8,1.1667,2.99
1/1/2017,8,38,13.4
1/1/2017,8.5,-11.5,1.39
1/1/2017,9.5,2.25,7.5
1/1/2017,10,8,107.3
1/1/2017,10,49,0.75
1/1/2017,11,-10,2.9
1/1/2017,11.5,43,0.82
1/1/2017,12,-15,0.33
1/1/2017,13,-2,3.34
1/1/2017,13.4667,-16.5667,0.62
1/1/2017,14,-14,9.32
1/1/2017,15,19,0.73
1/1/2017,15,30,18.21
1/1/2017,15,39,0.79
1/1/2017,16,8,2.49
1/1/2017,17,-4,1.72
1/1/2017,20,-12,2.84
1/1/2017,25,17,53.39
1/1/2017,25,17,53.39
1/1/2017,27,30,218.66
1/1/2017,28,3,150.55
1/1/2017,32,-5,62.73
1/1/2017,34,9,28.13
1/1/2017,-8.55,125.5167,0.55
1/1/2017,-5,120,486.84
1/1/2017,1.3667,103.8,64.77
1/1/2017,2.5,112.5,254.58
1/1/2017,3.25,73,1.57
1/1/2017,4.5,114.6667,10.23
1/1/2017,4.5,114.6667,10.23
1/1/2017,7,81,23.14
1/1/2017,13,105,7.94
1/1/2017,13,122,127.61
1/1/2017,15,48,18.97
1/1/2017,15,100,330.84
1/1/2017,16,106,198.83
1/1/2017,16,106,198.83
1/1/2017,20,77,"2,466.77"
1/1/2017,21,57,65.19
1/1/2017,22,98,25.33
1/1/2017,22,98,25.33
1/1/2017,22.1667,113.55,1.51
1/1/2017,22.25,114.1667,43.03
1/1/2017,24,54,231.77
1/1/2017,24,90,88.06
1/1/2017,25,45,635.01
1/1/2017,25.5,51.25,129.8
1/1/2017,26,50.55,34.46
1/1/2017,27.5,90.5,1.17
1/1/2017,28,84,9.03
1/1/2017,29.3375,47.6581,104.39
1/1/2017,30,70,198.81
1/1/2017,31,36,21.36
1/1/2017,31.5,34.75,66.55
1/1/2017,32,53,672.31
1/1/2017,33,44,194.45
1/1/2017,33,65,13.01
1/1/2017,33.8333,35.8333,19.55
1/1/2017,35,33,7.51
1/1/2017,35,38,27.91
1/1/2017,35,105,"9,838.75"
1/1/2017,36,138,"1,205.06"
1/1/2017,37,127.5,616.1
1/1/2017,37,127.5,616.1
1/1/2017,39,35,447.9
1/1/2017,39,71,5.71
1/1/2017,40,45,5.66
1/1/2017,40,60,72.7
1/1/2017,40,127,58.02
1/1/2017,40.5,47.5,38.21
1/1/2017,41,64,99
1/1/2017,41,75,10.43
1/1/2017,42,43.5,10.95
1/1/2017,46,105,30.39
1/1/2017,48,68,292.59
