year,energy,country,lat,lng
1/1/1990,13.03502916,Belgium,50.8333,4
1/1/1990,41.16596521,Czech Republic,49.75,15.5
1/1/1990,111.9014706,France,46,2
1/1/1990,190.1304067,Germany,51,9
1/1/1990,25.74905275,Italy,42.8333,12.8333
1/1/1990,60.59976811,Netherlands,52.5,5.75
1/1/1990,104.2417506,Poland,52,20
1/1/1990,3.401425145,Portugal,39.5,-8
1/1/1990,40.80081877,Romania,46,25
1/1/1990,35.2622888,Spain,40,-4
1/1/1990,29.68550483,Sweden,62,15
1/1/1990,207.9947355,United Kingdom,54,-2
1/1/1990,119.4761862,Norway,62,10
1/1/1990,90.97573134,Kazakhstan,48,68
1/1/1990,1295.902579,Russia,60,100
1/1/1990,126.6006287,Ukraine,49,32
1/1/1990,276.1228575,Canada,60,-95
1/1/1990,48.42407664,Argentina,-34,-64
1/1/1990,104.4254619,Brazil,-10,-55
1/1/1990,7.928413315,Chile,-30,-71
1/1/1990,48.18032491,Colombia,4,-72
1/1/1990,195.17663,Mexico,23,-102
1/1/1990,880.9262686,China,35,105
1/1/1990,280.4804669,India,20,77
1/1/1990,168.558639,Indonesia,-5,120
1/1/1990,76.12256917,Japan,36,138
1/1/1990,48.36825173,Malaysia,2.5,112.5
1/1/1990,23.6753661,South Korea,37,127.5
1/1/1990,10.64873896,Taiwan,23.5,121
1/1/1990,157.4134736,Australia,-27,133
1/1/1990,100.1016156,Algeria,28,3
1/1/1990,54.85936979,Egypt,27,30
1/1/1990,146.3023106,Nigeria,10,8
1/1/1990,50.37719393,Kuwait,29.3375,47.6581
1/1/1990,368.4370114,Saudi Arabia,25,45
1/1/1991,12.92105505,Belgium,50.8333,4
1/1/1991,39.01928336,Czech Republic,49.75,15.5
1/1/1991,118.5263843,France,46,2
1/1/1991,168.7614284,Germany,51,9
1/1/1991,26.49877625,Italy,42.8333,12.8333
1/1/1991,67.53890903,Netherlands,52.5,5.75
1/1/1991,99.97975209,Poland,52,20
1/1/1991,3.4022156,Portugal,39.5,-8
1/1/1991,35.95909209,Romania,46,25
1/1/1991,34.97299053,Spain,40,-4
1/1/1991,31.42867196,Sweden,62,15
1/1/1991,214.7380055,United Kingdom,54,-2
1/1/1991,131.4713368,Norway,62,10
1/1/1991,91.87110963,Kazakhstan,48,68
1/1/1991,1219.63829,Russia,60,100
1/1/1991,110.7757973,Ukraine,49,32
1/1/1991,287.4038328,Canada,60,-95
1/1/1991,50.22351756,Argentina,-34,-64
1/1/1991,105.0163092,Brazil,-10,-55
1/1/1991,8.349283101,Chile,-30,-71
1/1/1991,46.35019657,Colombia,4,-72
1/1/1991,203.7339663,Mexico,23,-102
1/1/1991,886.7622812,China,35,105
1/1/1991,290.4980579,India,20,77
1/1/1991,183.1594355,Indonesia,-5,120
1/1/1991,80.12288417,Japan,36,138
1/1/1991,52.60142435,Malaysia,2.5,112.5
1/1/1991,23.16993401,South Korea,37,127.5
1/1/1991,10.7014535,Taiwan,23.5,121
1/1/1991,166.8917178,Australia,-27,133
1/1/1991,102.5741006,Algeria,28,3
1/1/1991,55.52231784,Egypt,27,30
1/1/1991,152.4854032,Nigeria,10,8
1/1/1991,10.04804192,Kuwait,29.3375,47.6581
1/1/1991,463.6539793,Saudi Arabia,25,45
1/1/1992,12.67925828,Belgium,50.8333,4
1/1/1992,36.77119055,Czech Republic,49.75,15.5
1/1/1992,120.1989878,France,46,2
1/1/1992,163.5720887,Germany,51,9
1/1/1992,27.73997292,Italy,42.8333,12.8333
1/1/1992,67.57824973,Netherlands,52.5,5.75
1/1/1992,97.52411644,Poland,52,20
1/1/1992,2.94636442,Portugal,39.5,-8
1/1/1992,34.4717249,Romania,46,25
1/1/1992,34.08081753,Spain,40,-4
1/1/1992,29.45881681,Sweden,62,15
1/1/1992,214.9595466,United Kingdom,54,-2
1/1/1992,147.1477777,Norway,62,10
1/1/1992,89.51620264,Kazakhstan,48,68
1/1/1992,1143.33879,Russia,60,100
1/1/1992,104.2698303,Ukraine,49,32
1/1/1992,296.3863346,Canada,60,-95
1/1/1992,54.32919714,Argentina,-34,-64
1/1/1992,104.9904926,Brazil,-10,-55
1/1/1992,8.631101787,Chile,-30,-71
1/1/1992,47.87654391,Colombia,4,-72
1/1/1992,203.084347,Mexico,23,-102
1/1/1992,904.0853441,China,35,105
1/1/1992,293.695524,India,20,77
1/1/1992,187.3908173,Indonesia,-5,120
1/1/1992,81.15362945,Japan,36,138
1/1/1992,53.99204954,Malaysia,2.5,112.5
1/1/1992,20.91782402,South Korea,37,127.5
1/1/1992,10.37358515,Taiwan,23.5,121
1/1/1992,171.4680468,Australia,-27,133
1/1/1992,104.1933163,Algeria,28,3
1/1/1992,56.54966045,Egypt,27,30
1/1/1992,157.6706713,Nigeria,10,8
1/1/1992,59.74910052,Kuwait,29.3375,47.6581
1/1/1992,477.1965616,Saudi Arabia,25,45
1/1/1993,12.00849204,Belgium,50.8333,4
1/1/1993,36.19125719,Czech Republic,49.75,15.5
1/1/1993,126.4110541,France,46,2
1/1/1993,152.7115809,Germany,51,9
1/1/1993,28.77212667,Italy,42.8333,12.8333
1/1/1993,68.88861002,Netherlands,52.5,5.75
1/1/1993,97.38362954,Poland,52,20
1/1/1993,3.28181924,Portugal,39.5,-8
1/1/1993,33.47668935,Romania,46,25
1/1/1993,33.23020237,Spain,40,-4
1/1/1993,29.30133837,Sweden,62,15
1/1/1993,223.4067286,United Kingdom,54,-2
1/1/1993,155.3434245,Norway,62,10
1/1/1993,78.89171633,Kazakhstan,48,68
1/1/1993,1062.76448,Russia,60,100
1/1/1993,94.67640275,Ukraine,49,32
1/1/1993,318.4016546,Canada,60,-95
1/1/1993,57.13533489,Argentina,-34,-64
1/1/1993,105.9068436,Brazil,-10,-55
1/1/1993,8.23118159,Chile,-30,-71
1/1/1993,48.55646157,Colombia,4,-72
1/1/1993,206.3163303,Mexico,23,-102
1/1/1993,933.0055439,China,35,105
1/1/1993,297.5557155,India,20,77
1/1/1993,194.2827271,Indonesia,-5,120
1/1/1993,88.57288985,Japan,36,138
1/1/1993,56.07450016,Malaysia,2.5,112.5
1/1/1993,20.65883444,South Korea,37,127.5
1/1/1993,10.26858805,Taiwan,23.5,121
1/1/1993,174.2593083,Australia,-27,133
1/1/1993,104.9159792,Algeria,28,3
1/1/1993,59.77087816,Egypt,27,30
1/1/1993,160.4576854,Nigeria,10,8
1/1/1993,106.5454835,Kuwait,29.3375,47.6581
1/1/1993,471.7537476,Saudi Arabia,25,45
1/1/1994,11.58910567,Belgium,50.8333,4
1/1/1994,33.55890226,Czech Republic,49.75,15.5
1/1/1994,123.7899595,France,46,2
1/1/1994,145.3093145,Germany,51,9
1/1/1994,29.98858371,Italy,42.8333,12.8333
1/1/1994,66.76898348,Netherlands,52.5,5.75
1/1/1994,97.89604302,Poland,52,20
1/1/1994,3.490227825,Portugal,39.5,-8
1/1/1994,31.79389882,Romania,46,25
1/1/1994,32.42132758,Spain,40,-4
1/1/1994,31.24214843,Sweden,62,15
1/1/1994,251.8011903,United Kingdom,54,-2
1/1/1994,170.5354929,Norway,62,10
1/1/1994,71.19587857,Kazakhstan,48,68
1/1/1994,994.0733791,Russia,60,100
1/1/1994,82.61937122,Ukraine,49,32
1/1/1994,341.1259829,Canada,60,-95
1/1/1994,62.43241485,Argentina,-34,-64
1/1/1994,110.9588044,Brazil,-10,-55
1/1/1994,8.31684185,Chile,-30,-71
1/1/1994,50.4242151,Colombia,4,-72
1/1/1994,205.3350183,Mexico,23,-102
1/1/1994,986.1947923,China,35,105
1/1/1994,308.2157989,India,20,77
1/1/1994,207.5140407,Indonesia,-5,120
1/1/1994,91.44025772,Japan,36,138
1/1/1994,57.97819851,Malaysia,2.5,112.5
1/1/1994,20.07785708,South Korea,37,127.5
1/1/1994,10.53186983,Taiwan,23.5,121
1/1/1994,172.869956,Australia,-27,133
1/1/1994,100.6008485,Algeria,28,3
1/1/1994,59.20377754,Egypt,27,30
1/1/1994,161.682127,Nigeria,10,8
1/1/1994,113.9003468,Kuwait,29.3375,47.6581
1/1/1994,461.8478827,Saudi Arabia,25,45
1/1/1995,11.87037947,Belgium,50.8333,4
1/1/1995,32.69029806,Czech Republic,49.75,15.5
1/1/1995,127.8667725,France,46,2
1/1/1995,144.9460458,Germany,51,9
1/1/1995,29.66749744,Italy,42.8333,12.8333
1/1/1995,66.89810147,Netherlands,52.5,5.75
1/1/1995,99.50543791,Poland,52,20
1/1/1995,3.31735872,Portugal,39.5,-8
1/1/1995,32.46227415,Romania,46,25
1/1/1995,31.67515539,Spain,40,-4
1/1/1995,31.82251389,Sweden,62,15
1/1/1995,257.521151,United Kingdom,54,-2
1/1/1995,185.0103482,Norway,62,10
